
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028323                       # Number of seconds simulated (Second)
simTicks                                  28322509500                       # Number of ticks simulated (Tick)
finalTick                                 28322509500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     29.20                       # Real time elapsed on the host (Second)
hostTickRate                                969982340                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     672932                       # Number of bytes of host memory used (Byte)
simInsts                                      3256159                       # Number of instructions simulated (Count)
simOps                                        7461256                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   111515                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255528                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        113290039                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              34.792539                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.028742                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7472040                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       91                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8453605                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     16                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10869                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18950                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37497923                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.225442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.753169                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  32535555     86.77%     86.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3193151      8.52%     95.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1106959      2.95%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    262498      0.70%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     69436      0.19%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     66795      0.18%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    230232      0.61%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       445      0.00%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     32852      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              37497923                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      78     43.09%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     43.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     43.09% # attempts to use FU when none available (Count)
