
---------- Begin Simulation Statistics ----------
simSeconds                                   0.177914                       # Number of seconds simulated (Second)
simTicks                                 177913704500                       # Number of ticks simulated (Tick)
finalTick                                177913704500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     92.81                       # Real time elapsed on the host (Second)
hostTickRate                               1916969635                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     677324                       # Number of bytes of host memory used (Byte)
simInsts                                     11341116                       # Number of instructions simulated (Count)
simOps                                       22608315                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122197                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     243597                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        711654819                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              62.749981                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.015936                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22627584                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       91                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       24325224                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      6                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                19354                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             28072                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           126734751                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.191938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.697059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 112185850     88.52%     88.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11190117      8.83%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    126553      0.10%     97.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1627453      1.28%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     25640      0.02%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1578144      1.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       657      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       276      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        61      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             126734751                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      66     45.21%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.21% # attempts to use FU when none available (Count)
