
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001825                       # Number of seconds simulated (Second)
simTicks                                   1824739000                       # Number of ticks simulated (Tick)
finalTick                                  1824739000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      8.61                       # Real time elapsed on the host (Second)
hostTickRate                                211927794                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     750788                       # Number of bytes of host memory used (Byte)
simInsts                                      2464956                       # Number of instructions simulated (Count)
simOps                                        4112892                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   286275                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     477661                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1824740                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.740273                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.350853                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5772103                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       78                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5562059                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9108                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1659283                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1516854                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1800493                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.089187                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.782453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    647256     35.95%     35.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     68062      3.78%     39.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    125508      6.97%     46.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    139814      7.77%     54.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    104514      5.80%     60.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    161182      8.95%     69.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    315365     17.52%     86.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    202953     11.27%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     35839      1.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1800493                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  152833     99.88%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.88% # attempts to use FU when none available (Count)
